No,job_id,job_title,requirements,location,category,subcategory,date_upload,type,Salary,company,5,4,3,2,1
0,73829241,"Data Analyst","Melakukan monitoring dan evaluasi action plan cabang
Mengnalisa market, retensi, dan evaluasi performance aftersales
melakukan analisa dan evaluasi kebutuhan program aftersales
Pendidikan Minimal S1 jurusan Matematika/Statistika
Memiliki kemampuan mengolah dan menganalisa data
Mampu menggunakan Ms. office dengan baik
Memiliki kemampuan komunikasi dan Presentasi yang baik
Mampu menggunakan Power BI
Berapa gaji bulanan yang kamu inginkan?
Berapa tahun pengalaman kerjamu sebagai analis data?
Alat analisis data apa saja di bawah ini yang bisa kamu gunakan?
Bagaimana kamu menilai kemampuan bahasa Inggrismu?


Insights on salary & in-demand skills


Reviews from people working in the industry

","Central Jakarta","Science & Technology","Mathematics, Statistics & Information Sciences",2024-02-19,Contract/Temp,,"PT Agung Automall",12,12,1,1,0
1,73476260,"Data Scientist","Minimum 3 years of experience in MIS, data/business analyst function in retail or other service industry
Knowledge of programming languages like SQL, Oracle, R, MATLAB, and Python
Technical proficiency in database design development, data models, techniques for data mining, and segmentation
Strong mathematical skills to help collect, measure, organize and analyze data
Proficiency in statistics and statistical packages like Excel, SPSS, and SAS to be used for data set analyzing
Excellent in Microsoft Excel, PowerPoint and other Microsoft Office
Problem-solving skills
Accuracy and attention to detail
Adept at queries, writing reports, and making presentations
Team-working skills
Strong Verbal and Written communication skills (Bahasa and English)
Willing to work beyond work hours
Performing analysis to assess the quality and meaning of data
Developing and maintaining databases, and data systems – reorganizing data in a readable format
Clean, aggregate, and organize data from disparate sources and transfer it to a centralized data warehouse
Manage and translate large data sets and use them to identify trends and reach meaningful conclusions to inform strategic business decisions
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction of successful marketing programs
Preparing reports for the management stating trends, patterns, and predictions using relevant data which include preparing final analysis reports for the stakeholders to understand and make decisions based on various facts and trends
Together with the sales program and operations team, responsible for monitoring the implementation and results of each program
Coordinate with all related internal parties to ensure that programs achieve the objectives
How many years' experience do you have as a Data Scientist?
Which of the following programming languages are you experienced in?
Which of the following languages are you fluent in?
Which of the following Microsoft Office products are you experienced with?
Are you available to travel for this role when required?
How many years' experience do you have as a data analyst?


Insights on salary & in-demand skills


Reviews from people working in the industry

","North Jakarta","Information & Communication Technology","Business/Systems Analysts",2024-02-02,"Full time",,"PT Matahari Graha Fantasi (Timezone Indonesia)",21,11,9,0,0
2,73829895,"Data Scientist AI/ML Engineer","Developing statistical models, algorithms, and forecast analyses that are needed by the company to support business operations. 
Collecting, analyzing, and developing large and complex databases to serve as references in management decision-making processes. 
Capable of creating data modeling, data integration, as well as data quality concepts.
Candidate must possess at least a Bachelor's Degree in Information Technology, Mathematics, Actuarial, Computer Science or a related major.
At least 3 years of working experience in the related field is required for this position.
Knowledge in Data Scientist and Analyst.
Familiar with Data Analytics tools (Power BI, Python, Google Data Studio).
Good analytical, hard work, and team player with good interpersonal skills.
High integrity, independence & Objective.
Placement: Karawaci, Tangerang.


Insights on salary & in-demand skills


Reviews from people working in the industry

",Tangerang,"Science & Technology","Mathematics, Statistics & Information Sciences",2024-02-19,"Full time",,"PT. LIPPO KARAWACI TBK",28,23,6,7,1
3,73709305,"Data Scientist","Candidate must possess at least Bachelor's Degree, Master's Degree/Post-Graduate Degree in Computer Science/Information Technology, Mathematics, Physics, Quantity Survey, Science & Technology or equivalent.
Required language(s): Bahasa Indonesia, English
At least 2 Year(s) of working experience in the related field is required for this position.
Has experience with an econometric model is a plus
Conduct non-directed research and frame open-ended industry questions.
Extract huge volumes of data from multiple internal and external sources.
Employ sophisticated analytics programs, machine learning, and statistical methods to prepare data for use in predictive & prescriptive modeling.
Thoroughly clean and prune data to discard irrelevant information.
Explore and examine data from a variety of angles to determine hidden weaknesses, trends, and/or opportunities.
Devise data-driven solutions to the most pressing challenges.
Invent new algorithms to solve problems and build new tools to automate work.
Communicate predictions and findings to management and IT departments through effective data visualizations and reports.
Recommend cost-effective changes to existing procedures and strategies.
What's your expected monthly basic salary?
How many years' experience do you have as a Data Scientist?
Which of the following Microsoft Office products are you experienced with?
Which of the following programming languages are you experienced in?
How much notice are you required to give your current employer?
Which of the following data analytics tools are you experienced with?
Are you willing to undergo a pre-employment background check?


Insights on salary & in-demand skills


Reviews from people working in the industry

","South Jakarta","Science & Technology","Mathematics, Statistics & Information Sciences",2024-02-13,Contract/Temp,,"PT Media Wave Interaktif",0,0,0,0,0
4,73709165,"Machine Learning Staff - IT Consulting (Remote Work) (A-85456)","The working venue is in 
Jakarta Pusat.
 
(The work is fully remote).
Our client is a Japanese IT Consulting company. Currently, they are looking for 
Machine Learning Staff.
Translate and refine business goals into appropriate machine learning objectives.
Design and implement ML/DL solutions and integrate them with various Big Data platforms and architectures.
Create and maintain ML pipelines that are scalable, robust, and ready for production.
Collaborate with domain experts, software developers, and data scientists.
Troubleshoot ML/DL model issues, including recommendations for retrain, re-validate, and improvements/optimization.
Other related tasks as assigned.
Minimum 1+ year of Data Analyst or Machine Learning.
Hands-on experience in building ML models deployed into real-world business applications or research.
Maximum age is 35 years old.
Working knowledge of ML/DL algorithms (classification, regression, clustering, hyperparameter tuning, et cetera).
Proficiency with Python and libraries for machine learning such as scikit-learn and pandas.
Good understanding of Deep learning frameworks such as Tensorflow, Keras, PyTorch, MXNet, et cetera.
Experience in using computer vision libraries such as OpenCV, PIL.
Experience working with cloud services platform (AWS or GCP) to build ML/DL pipelines.
Experience in multi-GPU model training with CUDA.
Experience in ML experiment tracking tools (e.g. WandB, Neptune, TensorBoard).
Experience in model deployment using Docker (e.g. AWS SageMaker, Google Kubernetes Engine).
Experience in model compression or quantization for on-edge-device inference.
Experience with Continuous Integration and Continuous Delivery(CI/CD).
Relevant certifications in machine learning and cloud technologies (e.g., AWS, Coursera) would be a plus.
What's your expected monthly basic salary?
How would you rate your English language skills?
How many years' experience do you have as a data analyst?


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

","Central Jakarta","Information & Communication Technology","Engineering - Software",2024-02-13,"Full time","Rp 16,000,000 – Rp 24,000,000 per month","RGF HR Agent Indonesia",2,2,1,0,0
5,73798197,"Data Analyst","Memahami dengan baik sistem database produk-produk perusahaan.
Memelihara sistem database perusahaan.
Berkolaborasi dengan Head Store untuk memperoleh data yang dibutuhkan perusahaan.
Mengatur data yang diperoleh untuk dikelola sesuai jenis datanya.
Mempresentasikan data yang telah diproses dalam sebuah rapat untuk dijelaskan kepada seluruh tim tentang data yang ada sehingga bisa digunakan sesuai kebutuhan
Merancang dan mengimplementasikan database, sistem pengumpulan data, analisis data, dan strategi lainnya dengan tujuan meningkatkan efisiensi dan kualitas statistik. 
Menganalisis, mengevaluasi, dan memahami tren atau pola dalam kumpulan data yang kompleks
Melakukan kerjasama dengan manajemen dalam menetapkan prioritas kebutuhan bisnis dan informasi.
Usia maks.35 Tahun
Berpengalaman sebagai Data Analyst min. 1 tahun
Pendidikan D3/D4/S1 Jurusan Bisnis, Keuangan, atau lainnya yang sesuai
Menguasai rumus Microsoft Excel (wajib)
Memiliki skill problem-solving
Responsif dan komunikatif
Teliti dan rapi
Dapat berbahasa Indonesia dengan fasih
Bertanggungjawab, jujur, dan disiplin
Mampu bekerja dibawah tekanan
Memiliki kemampuan dan keterampilan analitis yang kuat dalam mempelajari fungsi bisnis dengan kemampuan untuk mengumpulkan, mengatur, menganalisis, mengevaluasi kebutuhan bisnis, dan menyebarkan informasi memperhatikan detail dan akurasi.
What's your expected monthly basic salary?
How many years' experience do you have as a data analyst?
Which of the following Microsoft Office products are you experienced with?
Which of the following languages are you fluent in?
Have you worked in a role which requires a sound understanding of the software development lifecycle?
How much notice are you required to give your current employer?
Are you available to travel for this role when required?","West Jakarta","Information & Communication Technology","Business/Systems Analysts",2024-02-16,"Full time",,"WINOD RITEL INDONESIA",0,0,0,0,0
6,73600775,"Data Analyst","Berapa tahun pengalaman kerjamu sebagai analis data?
Alat analisis data apa saja di bawah ini yang bisa kamu gunakan?


Insights on salary & in-demand skills


Reviews from people working in the industry

",Jakarta,"Science & Technology","Mathematics, Statistics & Information Sciences",2024-02-19,"Full time",,"PT Anggana Catur Prima",9,7,0,0,0
7,73785807,"Data Analyst","

Insights on salary & in-demand skills


Reviews from people working in the industry

",Jakarta,"Administration & Office Support","Data Entry & Word Processing",2024-02-16,Contract/Temp,,"PT MAZTA DISTRIBUSI INDONESIA",0,0,0,0,0
8,73795663,"Data Analyst - IT Data & Analytics","

Insights on salary & in-demand skills


Reviews from people working in the industry

","South Jakarta","Information & Communication Technology",Management,2024-02-16,"Full time",,"PT Adira Dinamika Multi Finance Tbk",159,181,61,10,3
9,73684731,"Data Analyst Officer (for RADU Food)","

Insights on salary & in-demand skills


Reviews from people working in the industry

",Tangerang,"Retail & Consumer Products",Merchandisers,2024-02-12,"Full time",,"PT Merah Cipta Media",0,3,0,0,0
